gene,scores,pvals,rank
PRSS56,21.032373,3.3163997809248346e-98,1
ADGRG2,16.730434,7.866324637776871e-63,2
PTN,15.661515,2.7721289293310462e-55,3
BACE2,15.116439,1.2618429873766357e-51,4
GYPC,15.021876,5.279221012209996e-51,5
DNAJC1,14.8894615,3.8586361002893727e-50,6
MIA,14.7954,1.5684990827251988e-49,7
MPZ,14.117038,2.9826726291150586e-45,8
NOTUM,13.510198,1.3615618641235117e-41,9
GJC3,13.422952,4.4368169827061573e-41,10
CUEDC2,13.216861,7.013061771944669e-40,11
CXCR4,13.116657,2.6434139780743462e-39,12
S100B,13.110972,2.8492099892901015e-39,13
ATP6V0E1,13.035161,7.720383157015408e-39,14
NPC2,12.520858,5.7411202602037e-36,15
GLUL,12.377859,3.444071057154832e-35,16
RPS24,12.256312,1.5541249673231395e-34,17
ECEL1,12.250628,1.6669942007350764e-34,18
CD63,12.151209,5.6523709330673685e-34,19
PMP22,11.976087,4.741846372392195e-33,20
RPL32,11.96254,5.582760204632755e-33,21
RPL35A,11.809305,3.4943576844096393e-32,22
NACA,11.574118,5.5741755651099536e-31,23
ABCC2,11.54611,7.723753774521651e-31,24
CRABP1,11.495061,1.3968205942336517e-30,25
RPL5,11.461522,2.0586488796128276e-30,26
SELENOW,11.41925,3.351147625384236e-30,27
RPS8,11.296549,1.3647688378316982e-29,28
RPS27,11.19225,4.449928357305826e-29,29
PAX3,10.886086,1.3428806323040094e-27,30
HDDC2,10.748619,6.015532392004233e-27,31
RPL9,10.66022,1.5622797197528786e-26,32
RPS15A,10.479718,1.070623501245816e-25,33
RPL13,10.320865,5.671017601546777e-25,34
TLE1,10.276719,8.973013176058371e-25,35
SMOC1,10.274585,9.173848647993555e-25,36
PLEKHA4,10.270796,9.541467835270643e-25,37
ANGPT1,10.264305,1.0205275525895059e-24,38
RPL7,10.242505,1.2788176957697956e-24,39
MPG,10.117016,4.64355689646019e-24,40
ATP1A2,10.069147,7.563131886142603e-24,41
RPS7,9.967658,2.1114848168744857e-23,42
TPD52L1,9.905894,3.92444552318685e-23,43
DOK5,9.851469,6.754932079959837e-23,44
RPL12,9.763113,1.6210144440976892e-22,45
RPL36,9.719578,2.488117786752873e-22,46
FSTL5,9.6459875,5.111686957583266e-22,47
RPL10,9.543366,1.382696137255062e-21,48
EEF1A1,9.542147,1.3990575766317328e-21,49
EGR2,9.488135,2.352031194197194e-21,50
USP53,9.399039,5.506361203517422e-21,51
SNORC,9.35779,8.14216203045254e-21,52
RPS12,9.335249,1.0075374338367841e-20,53
RPL30,9.324991,1.1099230813453421e-20,54
AFAP1L2,9.278298,1.722069391646262e-20,55
RPL34,9.272004,1.8268048823158277e-20,56
BLOC1S1,9.209565,3.2744993730816335e-20,57
HEY2,9.05278,1.3937368640408107e-19,58
RPS28,9.029913,1.7180899961914852e-19,59
PDLIM4,9.027517,1.756111635228743e-19,60
SEMA3C,9.011575,2.0311822012610012e-19,61
RPS15,8.98714,2.537489556121593e-19,62
SPTBN1,8.969129,2.9887018595654276e-19,63
RPL41,8.950486,3.5392132623600006e-19,64
RPS13,8.94992,3.5574153174538886e-19,65
ATP1B3,8.949528,3.570070886706678e-19,66
RPL10A,8.944779,3.726921030547915e-19,67
RPLP1,8.934239,4.09990571845618e-19,68
HSPB1,8.921346,4.60655232059143e-19,69
FTL,8.868162,7.43627928977203e-19,70
C4orf48,8.801541,1.34949495647204e-18,71
ALKBH7,8.793876,1.4448776136661487e-18,72
TTYH1,8.781984,1.6061553895320759e-18,73
RPL37,8.751276,2.109530443722156e-18,74
RPL11,8.700488,3.3045846119054195e-18,75
RHOC,8.659305,4.746489341500325e-18,76
ASPSCR1,8.639639,5.639094606238302e-18,77
RPL31,8.595885,8.262507603342371e-18,78
TPT1,8.550738,1.2230349015138146e-17,79
MOXD1,8.477606,2.2987549732148368e-17,80
TXNIP,8.412313,4.020025039215322e-17,81
RPL26,8.406978,4.2071176725061395e-17,82
BBX,8.4051695,4.2724275566779755e-17,83
RPL37A,8.403537,4.332302040987439e-17,84
RPS4X,8.393344,4.725062741452233e-17,85
QPCT,8.368168,5.852096066016102e-17,86
RPS14,8.361939,6.169562900061345e-17,87
S100A10,8.332887,7.889479954135347e-17,88
RPL24,8.278636,1.2459431912487151e-16,89
NR2F1,8.195202,2.5017313318728817e-16,90
NIFK,8.170679,3.066585617836588e-16,91
COL18A1,8.166105,3.185047876503612e-16,92
TSN,8.161815,3.300271620323808e-16,93
SPARC,8.097873,5.592843827584484e-16,94
PPDPF,8.0753975,6.725726214655243e-16,95
RPL13A,8.067013,7.203913270192441e-16,96
LITAF,7.9866056,1.387047820969458e-15,97
ANK2,7.979898,1.464543556002531e-15,98
RPL27,7.9729724,1.5490289287090838e-15,99
PACSIN3,7.9418073,1.992567469130544e-15,100
RPL28,7.9298286,2.194482359348119e-15,101
RPL6,7.9023657,2.7365871527933047e-15,102
RPL7A,7.8992734,2.8053412837108917e-15,103
IFI27L2,7.887796,3.0757008912704653e-15,104
S100A11,7.8268375,5.002951205173896e-15,105
CD99,7.783563,7.050985811011565e-15,106
UBXN2A,7.7817554,7.152491514703966e-15,107
CCDC140,7.7279406,1.0930033953161825e-14,108
CNFN,7.7251096,1.1175736219618566e-14,109
ALDH1A1,7.7128263,1.2306163829541233e-14,110
RPS27A,7.7017407,1.3422489466612063e-14,111
PHACTR3,7.6958604,1.4054496203357836e-14,112
LMO4,7.6175447,2.585467136145503e-14,113
FKBP10,7.6017985,2.920430727570821e-14,114
TSPO,7.5911922,3.16974983438414e-14,115
RPL38,7.5479617,4.421228498429346e-14,116
FOXD3-AS1,7.54243,4.612939868083789e-14,117
RPL27A,7.5108075,5.876383305052954e-14,118
ARL6IP5,7.4321647,1.0683476698352738e-13,119
FAU,7.429377,1.0911044079905513e-13,120
CDC42EP5,7.4108434,1.2549884664837267e-13,121
RPL39,7.3849483,1.5251249710040803e-13,122
SNHG7,7.3819647,1.559704971160375e-13,123
LGALS1,7.351257,1.9635171716934999e-13,124
BTF3,7.338059,2.167136999082476e-13,125
TMSB10,7.3047376,2.778083324798307e-13,126
EIF1,7.298901,2.901278415534599e-13,127
CNPY2,7.2060804,5.758546539449312e-13,128
RPL18,7.2059712,5.763150993664715e-13,129
ERC1,7.156447,8.279505174451091e-13,130
ROPN1B,7.155597,8.33093549582402e-13,131
CRYL1,7.1473866,8.844541801841569e-13,132
APCDD1,7.1373467,9.514956636071231e-13,133
RAB13,7.1179204,1.0956773871983084e-12,134
RPS29,7.084185,1.3986486564300517e-12,135
JUN,7.074929,1.495251204434834e-12,136
COPS9,7.069071,1.5597466833793648e-12,137
FTH1,7.056134,1.7119852349219155e-12,138
S100A6,6.9760323,3.0363304035093962e-12,139
CYTL1,6.9756403,3.04480973454744e-12,140
SERPINE2,6.972221,3.1197596483643984e-12,141
ARPC1B,6.950377,3.643113345996245e-12,142
EEF1D,6.94221,3.860128215650509e-12,143
OST4,6.9373097,3.996368356556023e-12,144
RPS11,6.9369397,4.006851508665024e-12,145
ATP5MC2,6.933433,4.1074793168194e-12,146
EIF3E,6.900373,5.186610480421615e-12,147
PUF60,6.874892,6.20367753868655e-12,148
RPS3A,6.870471,6.399023574531501e-12,149
ADSS,6.8625,6.766569596726915e-12,150
RACK1,6.859059,6.9315579284330726e-12,151
NUDT4,6.833513,8.286016254058987e-12,152
SEPT11,6.8105364,9.723563962428045e-12,153
PMP2,6.79699,1.068276032415452e-11,154
RPL8,6.7899337,1.1218517609114015e-11,155
ACTG1,6.7865577,1.1484043297326719e-11,156
PLAT,6.770333,1.2848650281268307e-11,157
CHRND,6.7541075,1.4371697998238012e-11,158
RPL36A,6.724576,1.7610470070156006e-11,159
COMMD6,6.7164526,1.8620212091065175e-11,160
GFRA1,6.686115,2.2917342611754635e-11,161
GAL3ST1,6.674202,2.48581413487277e-11,162
MGST3,6.6731563,2.5035932917549182e-11,163
CPQ,6.6408367,3.119071079903019e-11,164
OSTC,6.6383324,3.172519747707857e-11,165
TCF25,6.6360455,3.2221029109309384e-11,166
COMT,6.578419,4.754760783948277e-11,167
KLF6,6.5696206,5.0443612128988005e-11,168
LAMTOR5,6.541243,6.100958892643854e-11,169
LMNA,6.521163,6.976426562948318e-11,170
RPL21,6.51182,7.424562445528024e-11,171
CD151,6.4812427,9.097012432207432e-11,172
RPL35,6.4804807,9.143092706399513e-11,173
NR2F2,6.474818,9.49262149124526e-11,174
APRT,6.4732285,9.593085109322375e-11,175
SPATA13,6.4711595,9.725383253229488e-11,176
RPS10,6.467849,9.940779092178095e-11,177
CST3,6.425206,1.316907717402332e-10,178
MID1IP1,6.4193697,1.368397717558754e-10,179
APOD,6.4158635,1.4002707226612165e-10,180
SEMA6A,6.4090466,1.4643247442610415e-10,181
RPL17,6.403275,1.5207869641295783e-10,182
CD9,6.3915367,1.6422705190029813e-10,183
RPL19,6.339115,2.3108829499465112e-10,184
RPL29,6.337765,2.3312203321955245e-10,185
RPS23,6.329184,2.4646074607064717e-10,186
SOX5,6.304204,2.896786034925823e-10,187
TSHZ1,6.300981,2.9576796418792297e-10,188
ITPR2,6.29987,2.9789514365869495e-10,189
PFDN1,6.293271,3.108445741640945e-10,190
C9orf3,6.292661,3.1206859677807507e-10,191
LAMA4,6.2913327,3.1475153518590345e-10,192
RPL23A,6.2679644,3.657984181816475e-10,193
MXD4,6.255986,3.9501187894566795e-10,194
FIS1,6.2481675,4.152959689995361e-10,195
RPS6,6.235035,4.5167695846881593e-10,196
RPL3,6.22628,4.776400538504823e-10,197
CYBA,6.1967044,5.76575654898155e-10,198
COL1A1,6.196247,5.782526704005703e-10,199
RPS16,6.193416,5.887406242115526e-10,200
RPL36AL,6.136748,8.422786338633596e-10,201
TSC22D4,6.1291037,8.837555035130668e-10,202
UFC1,6.1186934,9.43457104784156e-10,203
TIMP1,6.1034703,1.0378996118814802e-09,204
GSN,6.0980473,1.073720056326e-09,205
SIGIRR,6.096392,1.0848913063928937e-09,206
SSR3,6.064356,1.3248368743262225e-09,207
ZADH2,6.0469546,1.4760940514683716e-09,208
GSTO1,6.0296187,1.6434696697359208e-09,209
FOXD3,6.0082974,1.8748171280530966e-09,210
RPL23,5.999564,1.978478584263997e-09,211
RNF7,5.962105,2.4900927521414805e-09,212
ITM2B,5.885117,3.977718319926567e-09,213
RPLP2,5.8730955,4.277320109718238e-09,214
ZNHIT1,5.8593965,4.645518150518086e-09,215
RPS18,5.850271,4.907714966663566e-09,216
SSR4,5.8198466,5.8901651410393615e-09,217
ERBB3,5.8034906,6.494829841922735e-09,218
CMTM5,5.7918177,6.9628785171126176e-09,219
UBXN4,5.7876577,7.137464244801869e-09,220
MSRB2,5.7766376,7.620810999893583e-09,221
LPAR6,5.7716722,7.84886805149135e-09,222
CDH6,5.765901,8.1222788415574e-09,223
RPS3,5.734082,9.804174677247736e-09,224
UQCR11,5.733625,9.830661151546987e-09,225
RPS9,5.7333636,9.84582749320151e-09,226
SP5,5.732819,9.877497119463854e-09,227
LAMB1,5.7157445,1.0922467065088766e-08,228
PLCG2,5.6899586,1.270701139703175e-08,229
GJB1,5.6782637,1.3606896287663199e-08,230
RPL15,5.6777844,1.3645053489685719e-08,231
RABAC1,5.6676793,1.4474471534308878e-08,232
EIF3F,5.6672435,1.451130193063809e-08,233
DCXR,5.6569858,1.540545138680836e-08,234
ATP5MG,5.6492977,1.6110444326206224e-08,235
MYL12B,5.64736,1.6293077964051724e-08,236
FXYD1,5.6472507,1.630339771861076e-08,237
BGN,5.645247,1.6494418129413723e-08,238
RPL22,5.626104,1.8432562020346714e-08,239
SNHG8,5.604521,2.0883168285135275e-08,240
ARF5,5.6019077,2.1200562702015346e-08,241
NUCB2,5.5868583,2.3121397003045044e-08,242
RPS19,5.5844626,2.3442362920230906e-08,243
NKAIN4,5.580303,2.40099789651272e-08,244
PIK3R1,5.5519037,2.8257518845640348e-08,245
HAS2,5.5377693,3.063482662267313e-08,246
UQCRB,5.524746,3.2996308587883044e-08,247
NME4,5.52076,3.375360536594229e-08,248
MAGED2,5.5040126,3.7124328571726395e-08,249
MZT2B,5.478684,4.2850113219666424e-08,250
PDGFC,5.4736967,4.407434924938228e-08,251
GLTP,5.4704514,4.488904251456411e-08,252
PPIB,5.4696455,4.5093600717049784e-08,253
GPR17,5.4580812,4.8130737604040485e-08,254
TSHZ2,5.4550977,4.894595712213625e-08,255
LEF1,5.4286585,5.677927456701558e-08,256
ANXA2,5.42317,5.855123596031551e-08,257
RPL14,5.416397,6.081202810013123e-08,258
POLR2F,5.4046583,6.493209053198264e-08,259
COL4A1,5.3998885,6.66822622402524e-08,260
C1QTNF4,5.3665457,8.025894017479439e-08,261
C19orf53,5.3642807,8.12724940447659e-08,262
ATP5F1D,5.3506036,8.766136751951462e-08,263
EMP3,5.3207884,1.0331841863630984e-07,264
AP1S2,5.3185887,1.0457510254009658e-07,265
TPPP3,5.3127522,1.0798180016281928e-07,266
IGBP1,5.274923,1.328120472096934e-07,267
SERF2,5.261681,1.4274404834650902e-07,268
RIMS2,5.261333,1.4301488354378664e-07,269
VPS28,5.2588067,1.4499335680718518e-07,270
MLEC,5.2562585,1.470156902856071e-07,271
RPS25,5.218385,1.8048968996544e-07,272
SEC11A,5.2132673,1.8554321830176081e-07,273
SH3BGRL3,5.195866,2.0376881807751726e-07,274
ATP5F1E,5.195605,2.0405531361361553e-07,275
SLC25A6,5.193383,2.065062943359806e-07,276
NSA2,5.1868496,2.138810890472369e-07,277
GRHPR,5.1860223,2.1483319619098046e-07,278
UBA52,5.1798153,2.2210570934014775e-07,279
ADGRG6,5.178661,2.2348412396607225e-07,280
BSG,5.155031,2.535887342327414e-07,281
SESN3,5.136541,2.798411828368927e-07,282
RTKN,5.0727515,3.9210462549695753e-07,283
SMDT1,5.06478,4.088714044040769e-07,284
AIF1L,5.049557,4.428355266221722e-07,285
FHOD3,5.0446787,4.5428410288909514e-07,286
EPB41L4A-AS1,5.0432196,4.5776356636969003e-07,287
MFAP2,5.0170197,5.247916306653069e-07,288
AC004540.2,5.010268,5.435417325230091e-07,289
DRAP1,5.010225,5.436647727621501e-07,290
VEGFB,5.0029726,5.645298031974365e-07,291
NDUFC1,5.002254,5.666390549282536e-07,292
TMEM219,4.9984646,5.778868109652267e-07,293
RCN2,4.9927583,5.952300918564791e-07,294
LAPTM4A,4.9791465,6.386522186145542e-07,295
TUBB2A,4.9628997,6.944840901369819e-07,296
PFDN5,4.9604387,7.03341081890802e-07,297
RBP1,4.9155746,8.852235008203713e-07,298
RAC3,4.876286,1.0810180234344815e-06,299
RGS10,4.8706455,1.112343092154815e-06,300
SH3BP5,4.860649,1.1700154452969105e-06,301
C1orf198,4.8565545,1.1944585129755736e-06,302
PCBP4,4.8546815,1.2058029958394392e-06,303
RAB38,4.8532443,1.2145794560968044e-06,304
VCAN,4.84756,1.249892235547937e-06,305
DSTN,4.833578,1.3410062089887816e-06,306
NET1,4.833491,1.3415934387126566e-06,307
CTXND2,4.8229284,1.4146579586902005e-06,308
OPN3,4.7852297,1.7079207387481849e-06,309
SPP1,4.7689824,1.851586444469556e-06,310
TXN,4.7688084,1.8531882862698947e-06,311
SYF2,4.7549353,1.9850991246904962e-06,312
CD74,4.750362,2.030529755776258e-06,313
ARHGAP32,4.731589,2.227694986420587e-06,314
GSTK1,4.728801,2.2584963927857286e-06,315
PGLS,4.691516,2.711881862838158e-06,316
SAT2,4.6635737,3.107645439615469e-06,317
NDUFA4,4.652053,3.286466307261404e-06,318
CD47,4.644169,3.414478322655493e-06,319
XPNPEP1,4.6416426,3.4565007118019128e-06,320
ZEB2,4.6361547,3.5495062553758857e-06,321
RRBP1,4.6327353,3.6086582644264287e-06,322
LPP,4.6235013,3.773166644602257e-06,323
CRABP2,4.614376,3.9427830779807355e-06,324
NR4A1,4.604053,4.143473479642718e-06,325
WDR83OS,4.5968223,4.289832222665545e-06,326
PLP1,4.5919657,4.3909067599321685e-06,327
ATOX1,4.591007,4.411117433444983e-06,328
RCBTB2,4.5855846,4.527181496818921e-06,329
BZW2,4.5842776,4.555583051369562e-06,330
BCAN,4.5822086,4.600901562778135e-06,331
RPS2,4.579029,4.671391831139114e-06,332
VGLL4,4.571864,4.834048163032585e-06,333
LST1,4.565592,4.980874543835611e-06,334
COX7C,4.5609527,5.092202204751532e-06,335
PTRHD1,4.560234,5.109661919185076e-06,336
MMP17,4.55712,5.185985311472987e-06,337
ASXL1,4.553374,5.279233430596923e-06,338
RWDD1,4.552154,5.309938179011344e-06,339
PCBD1,4.5374756,5.693166234168218e-06,340
HOXB7,4.5365825,5.717313023987965e-06,341
QPRT,4.5142593,6.3538417940091495e-06,342
RPS20,4.513345,6.381319104492161e-06,343
PLD3,4.507399,6.562712416842155e-06,344
TNFRSF19,4.491283,7.079544695170484e-06,345
SOD1,4.487363,7.211024614305735e-06,346
SELENOM,4.48366,7.337341929492415e-06,347
BRI3,4.464103,8.04048392324149e-06,348
SMIM26,4.4577656,8.281842100200317e-06,349
CELF2,4.4546075,8.404676468182268e-06,350
KDELR1,4.449838,8.593505128269123e-06,351
FRMD6,4.428081,9.507510930327124e-06,352
MCRIP1,4.427885,9.51615265025915e-06,353
SLC16A4,4.4137726,1.0158465239615975e-05,354
RSRP1,4.40994,1.0339946573484865e-05,355
TMCO1,4.389903,1.134011255299902e-05,356
JOSD2,4.389446,1.1363986695675707e-05,357
NDUFS7,4.3704987,1.2396325163134423e-05,358
NSG1,4.3638124,1.2781521401737849e-05,359
EEF2,4.362244,1.2873499864928297e-05,360
AMOT,4.3583894,1.3102305708841142e-05,361
VAMP5,4.3534894,1.3398764746393073e-05,362
IRS2,4.34615,1.3854792008419856e-05,363
ADD3,4.343014,1.4054133560431706e-05,364
INSC,4.335892,1.4517012979349842e-05,365
ETFB,4.3336926,1.4662896219708761e-05,366
COL12A1,4.332103,1.4769205790068743e-05,367
HSPG2,4.3231516,1.5381595443877003e-05,368
ATP1B1,4.308952,1.640300193754434e-05,369
EIF3K,4.3034635,1.681484109945829e-05,370
SEMA3B,4.29889,1.7165549772907238e-05,371
PRDX6,4.2944474,1.751290493981161e-05,372
GPX4,4.2888937,1.7956522348237715e-05,373
IAH1,4.284233,1.833705547813445e-05,374
ZFP36L1,4.28199,1.8522936171676194e-05,375
MAOB,4.2781353,1.8846561832326707e-05,376
SNHG19,4.277852,1.887054205972291e-05,377
ATP5ME,4.2772202,1.8924141186607256e-05,378
ADARB1,4.2726903,1.931284806153739e-05,379
GRIP2,4.268531,1.9676473056331577e-05,380
RPL18A,4.258774,2.055512646980082e-05,381
HES4,4.251369,2.1246764369563483e-05,382
TALDO1,4.2463164,2.173136132289436e-05,383
SRSF5,4.216719,2.4788223348846762e-05,384
HIGD2A,4.2155,2.492257461749566e-05,385
PRSS23,4.205917,2.6002557922899543e-05,386
NENF,4.200821,2.6594896538094984e-05,387
IGFBP5,4.186425,2.833823061955058e-05,388
SEC11C,4.1793036,2.9240319055533385e-05,389
SPTAN1,4.165714,3.103800811438382e-05,390
LRPAP1,4.15465,3.257857019896361e-05,391
FLRT3,4.1490746,3.338217876726192e-05,392
ZFP36L2,4.1462655,3.37942222983951e-05,393
PDCD6,4.13934,3.4830688184684434e-05,394
SEMA6D,4.134766,3.553162146319943e-05,395
CTSF,4.1201963,3.7854982024159616e-05,396
NAP1L1,4.1191072,3.803429863244982e-05,397
TMEM160,4.109699,3.961752874250401e-05,398
B3GNT2,4.1072817,4.0034318846412567e-05,399
SERPINB6,4.099093,4.1477284503649944e-05,400
TMED3,4.0829983,4.4458348891105046e-05,401
LAMC1,4.082236,4.460445915801763e-05,402
CCDC85B,4.0784903,4.532912948321442e-05,403
ITGA4,4.060479,4.897210847928257e-05,404
TMEM147,4.057975,4.9500147055699375e-05,405
SDF2L1,4.0408564,5.3256320663562516e-05,406
STRA6,4.031143,5.550618660669959e-05,407
MTRNR2L12,4.0212774,5.788335000643724e-05,408
NDUFV3,4.0099745,6.0725320488262846e-05,409
ARL3,4.006185,6.170733639655206e-05,410
LAMTOR2,4.002243,6.274480249170245e-05,411
CTNNB1,3.9992158,6.355271714598079e-05,412
ESD,3.998497,6.374596549036788e-05,413
TUSC1,3.9648056,7.345581790380453e-05,414
SYNGR1,3.9642174,7.36371003068707e-05,415
FAM210B,3.9597528,7.502737080993548e-05,416
KRT10,3.9584026,7.545270788849029e-05,417
CALD1,3.9313316,8.447662664391542e-05,418
NDRG2,3.9276729,8.577176468324547e-05,419
FGF7,3.9234478,8.729067960225419e-05,420
ARL6IP4,3.9121447,9.14800726932235e-05,421
FKBP1B,3.911905,9.157088733240434e-05,422
TMEM205,3.9108162,9.198475539794835e-05,423
NDUFA1,3.9071574,9.338833026028382e-05,424
DNPH1,3.9067435,9.354833487970083e-05,425
SORBS1,3.9059596,9.385221177017981e-05,426
EGFLAM,3.905306,9.410615435712055e-05,427
TIMP3,3.8981192,9.694268464615252e-05,428
MALAT1,3.895985,9.780047296481571e-05,429
RPS17,3.8878615,0.00010113130975923476,430
NOP53,3.8553023,0.00011558667017586368,431
ARHGAP18,3.8516219,0.0001173381496846672,432
KLK6,3.8344603,0.00012584034461765527,433
POLR1D,3.825422,0.0001305482348173246,434
YAP1,3.8150337,0.00013616438592010043,435
CHMP2A,3.8136616,0.00013692293430437788,436
GSTP1,3.7978284,0.00014596926318803042,437
NDUFS4,3.7977197,0.00014603338526387303,438
RAB30,3.7961733,0.00014694678594861068,439
MAML2,3.79589,0.00014711460989672736,440
SSR2,3.7928848,0.00014890728678264544,441
GDI2,3.7921007,0.00014937831283199518,442
LINGO1,3.7908158,0.00015015330678681038,443
CALR,3.788725,0.0001514224095762014,444
NDUFAF8,3.7872224,0.00015234080699654554,445
TGFBR2,3.780362,0.00015660049795046082,446
RNF187,3.770801,0.0001627242873344482,447
SERP1,3.760979,0.00016924964404464583,448
FAM3C,3.7555125,0.00017298709190434618,449
NDUFS8,3.7545543,0.0001736502058064695,450
POLR2G,3.7544453,0.00017372571074123378,451
SCARB2,3.748587,0.00017783369580460362,452
DNAJC4,3.7409427,0.00018333137288028604,453
BLVRB,3.7402458,0.0001838404545405186,454
PMEPA1,3.724783,0.00019548341461762085,455
RAB7A,3.6981258,0.00021719726762334474,456
SLITRK5,3.696819,0.0002183178333660809,457
ARL4A,3.6947937,0.00022006544264884794,458
CSTB,3.6920495,0.00022245412937218538,459
EMP2,3.68079,0.00023251248268461917,460
C9orf16,3.6807246,0.00023257207459311888,461
CRYM,3.675955,0.00023696120400068822,462
PRCP,3.6638463,0.0002484560470722237,463
KCNMB4,3.662866,0.00024940890757098864,464
MVB12A,3.6584451,0.0002537501291099849,465
MBP,3.6573343,0.0002548518650974972,466
PFDN4,3.6558752,0.0002563060621600338,467
PLPP1,3.6531093,0.0002590839022118855,468
COMMD1,3.6389532,0.0002737485920461379,469
TIMP2,3.6364923,0.00027637605099792577,470
CTSD,3.6329422,0.00028020776186441605,471
GABRG3,3.6313741,0.0002819160983839432,472
FN1,3.6286302,0.0002849291921725958,473
ERGIC3,3.6267788,0.0002869788492168664,474
BCAP31,3.6204848,0.000294051477299647,475
UXT,3.6151927,0.0003001243778602354,476
GUK1,3.6084194,0.0003080681149391364,477
EDNRB,3.6078315,0.0003087669725583942,478
SELENOP,3.5965283,0.0003224924949664331,479
RAB2A,3.5922596,0.0003278229090583674,480
PRKCD,3.59006,0.0003306017881584296,481
NPR3,3.585334,0.0003366469764408652,482
BAD,3.5848548,0.0003372655931367444,483
CXXC5,3.5820236,0.0003409428204114637,484
NTN5,3.5819583,0.0003410281206246064,485
MZT2A,3.5816317,0.00034145492125469323,486
FOS,3.5793014,0.00034451395928841353,487
AL161772.1,3.574423,0.00035100112398211893,488
COPRS,3.5729637,0.0003529635683106274,489
ZFAS1,3.5636208,0.00036577431047237716,490
RPS21,3.560855,0.0003696493701143436,491
TEX264,3.5416243,0.00039767143302317417,492
AES,3.538989,0.0004016624555793794,493
CCDC90B,3.53692,0.0004048220918418637,494
FXYD6,3.5334356,0.0004101961206183419,495
STX7,3.5330436,0.0004108048511562141,496
NOTCH2,3.5311487,0.00041375896171155107,497
C12orf57,3.5310616,0.00041389525880087424,498
BIRC7,3.5296242,0.0004161502236263442,499
TKT,3.527185,0.0004200031052571171,500
ADAM23,3.5255082,0.00042267125707527606,501
ADAM10,3.525225,0.00042312328294967283,502
ZNF706,3.5076497,0.0004520840978775431,503
EGR1,3.499548,0.00046604780896066845,504
CDH3,3.4874825,0.00048759073766639757,505
LINC02381,3.4843464,0.0004933404930480289,506
MGAT4B,3.4840415,0.0004939028564027012,507
PGRMC1,3.4830396,0.0004957548332024727,508
DAD1,3.4714098,0.0005177330437277286,509
MGLL,3.4642882,0.0005316364543025479,510
MGMT,3.463722,0.0005327567248134976,511
ENC1,3.4634824,0.0005332313472709587,512
EVA1B,3.4630904,0.0005340088521458488,513
GLI3,3.4623282,0.0005355236920355565,514
CPNE5,3.4586694,0.0005428508192532324,515
DHRS7,3.457232,0.000545754803187681,516
FKBP2,3.437936,0.0005861660167383125,517
NME3,3.437936,0.0005861660167383125,518
PSAP,3.4348435,0.0005928960713204596,519
RPL22L1,3.4315767,0.000600083356809214,520
GAP43,3.425544,0.0006135694635399444,521
SNX3,3.4254134,0.0006138646779616353,522
YPEL3,3.423584,0.0006180115822846478,523
TBCA,3.4168108,0.0006335929788165992,524
C19orf70,3.4009995,0.0006713995479297571,525
RHOB,3.3994095,0.000675314896549239,526
UGDH,3.393377,0.0006903656660887642,527
GFRA3,3.3897834,0.000699478486966649,528
AGPAT2,3.3867345,0.0007072981105939273,529
POLR3GL,3.3762589,0.0007347873434424165,530
STARD13,3.3749957,0.0007381682810791923,531
SUPT4H1,3.373297,0.0007427378436718397,532
DACT1,3.3716636,0.0007471564169105136,533
SNX6,3.3701391,0.0007513024316437746,534
C1orf54,3.3691156,0.0007540981616823228,535
TUFM,3.3539357,0.000796708473029106,536
CAV1,3.353805,0.0007970847895435294,537
MTCH1,3.3481426,0.000813551184308708,538
LRP1,3.346248,0.0008191311956875149,539
COL19A1,3.34566,0.0008208701301832323,540
PHPT1,3.3433077,0.0008278601738310399,541
PMM1,3.3421972,0.0008311801862843566,542
ARPC3,3.335707,0.0008508276876335668,543
MRPS36,3.3307633,0.0008660821381628808,544
EBPL,3.3304367,0.0008670990206486798,545
CTSL,3.3193731,0.0009021981383244915,546
FRMD8,3.3162587,0.0009123133147473773,547
CDH1,3.3120553,0.0009261319540890307,548
SHC4,3.3070464,0.0009428529564044101,549
CA11,3.3033657,0.0009553170275333055,550
NFIA-AS2,3.301667,0.0009611209975915431,551
MITF,3.3014057,0.000962016809289699,552
TMSB4X,3.2967014,0.0009782742332214908,553
COL9A3,3.2895582,0.0010034484935190378,554
EVI5,3.2889483,0.001005625064768798,555
LGI4,3.2859428,0.0010164164445494114,556
COL4A2,3.2844837,0.0010216943001253751,557
PQBP1,3.278233,0.0010445907297784952,558
C1orf122,3.2770572,0.0010489514844396408,559
UBXN6,3.2687159,0.0010803672378706794,560
COX4I1,3.2674963,0.0010850329148851957,561
ARHGAP19,3.2625525,0.001104137092336291,562
SLC39A10,3.261638,0.001107705704757042,563
ERP29,3.2603528,0.001112736771891469,564
APOA1,3.2521641,0.0011452987613309173,565
SEC14L1,3.249028,0.0011580008858166028,566
YPEL5,3.2470243,0.0011661841618458057,567
ATP6V0E2,3.2447593,0.0011754991556563047,568
METRN,3.2394235,0.001197715545225858,569
CANX,3.2334344,0.001223113996694919,570
PRMT2,3.2321277,0.0012287211759296765,571
SLC6A8,3.2311041,0.0012331300378385938,572
AXIN2,3.2143564,0.0013073731423490055,573
INPP4B,3.2131803,0.001312738540148589,574
BRK1,3.2124834,0.0013159276161721866,575
FRG1,3.2100658,0.001327045214985285,576
